51.4773	-0.5062	556
51.4771	-0.5264	625
51.4785	-0.5464	709
51.4847	-0.5678	892
51.4942	-0.5972	1227
51.5019	-0.6222	1372
51.5112	-0.6419	1516
51.5256	-0.6529	1737
51.5437	-0.6515	1943
51.5610	-0.6402	2164
51.5838	-0.5925	2408
51.6056	-0.5414	2652
51.6281	-0.4862	3002
51.6514	-0.4289	3322
51.6717	-0.3787	3635
51.6900	-0.3204	3909
51.7308	-0.1767	4633
51.7508	-0.1091	5006
51.7725	-0.0362	5136
51.7956	0.0417	5372
51.8190	0.1209	5662
51.8415	0.1979	5951
51.8654	0.2801	6271
51.8889	0.3587	6530
51.9211	0.4703	6881
51.9440	0.5563	7117
51.9668	0.6454	7407
51.9893	0.7393	7681
52.0106	0.8303	7963
52.0243	0.8925	8115
52.0345	0.9695	8291
52.0440	1.0636	8473
52.0596	1.2121	8733
52.0679	1.2915	8877
52.0802	1.4083	9030
52.0921	1.5216	9152
52.1041	1.6391	9365
52.1150	1.7466	9578
52.1272	1.8626	9799
52.1409	1.9789	10119
52.1538	2.0868	10417
52.1669	2.1987	10668
52.1794	2.3087	10897
52.1905	2.4072	11034
52.2029	2.5200	11148
52.2144	2.6264	11201
52.2267	2.7393	11255
52.2388	2.8522	11323
52.2513	2.9677	11422
52.2632	3.0795	11552
52.2750	3.1908	11681
52.2865	3.3019	11788
52.2984	3.4167	11895
52.3098	3.5281	11895
52.3212	3.6397	11887
52.3307	3.7358	11895
52.3420	3.8505	11887
52.3529	3.9629	11895
52.3650	4.0887	11895
52.3754	4.1963	11895
52.3916	4.3140	11895
52.4071	4.4212	11887
52.4231	4.5281	11895
52.4401	4.6394	11895
52.4568	4.7481	11895
52.4665	4.8122	11895
52.4848	4.9320	11895
52.4961	5.0077	11895
52.5125	5.1179	11895
52.5288	5.2289	11895
52.5432	5.3377	11895
52.5495	5.4199	11895
52.5559	5.5064	11895
52.5641	5.6174	11895
52.5726	5.7310	11895
52.5809	5.8453	11895
52.5896	5.9624	11895
52.5982	6.0799	11887
52.6063	6.1935	11895
52.6145	6.3110	11895
52.6226	6.4275	11895
52.6306	6.5453	11895
52.6382	6.6598	11895
52.6460	6.7775	11895
52.6534	6.8897	11895
52.6612	7.0100	11895
52.6682	7.1200	11895
52.6756	7.2383	11895
52.6824	7.3514	11895
52.6885	7.4520	11895
52.6952	7.5644	11895
52.7025	7.6887	11895
52.7088	7.7987	11895
52.7122	7.8602	11895
52.7187	7.9746	11895
52.7249	8.0862	11895
52.7313	8.2043	11895
52.7371	8.3164	11895
52.7423	8.4260	11895
52.7477	8.5371	11887
52.7533	8.6455	11895
52.7591	8.7585	11887
52.7648	8.8672	11895
52.7704	8.9804	11895
52.7752	9.0869	11895
52.7802	9.1968	11895
52.7851	9.3075	11895
52.7899	9.4178	11895
52.7946	9.5296	11895
52.7976	9.6024	11895
52.8020	9.7094	11895
52.8062	9.8175	11895
52.8107	9.9304	11895
52.8149	10.0403	11895
52.8191	10.1522	11895
52.8229	10.2593	11895
52.8253	10.3264	11895
52.8291	10.4343	11895
52.8321	10.5204	11895
52.8356	10.6345	11895
52.8350	10.6980	11895
52.8335	10.8097	11895
52.8318	10.9243	11895
52.8305	11.0165	11895
52.8288	11.1234	11887
52.8268	11.2415	11895
52.8251	11.3474	11895
52.8232	11.4555	11895
52.8210	11.5684	11895
52.8187	11.6799	11895
52.8163	11.7897	11895
52.8140	11.8998	11895
52.8116	12.0067	11895
52.8089	12.1194	11895
52.8075	12.1829	11895
52.8055	12.2619	11895
52.8026	12.3734	11895
52.7997	12.4823	11895
52.7968	12.5911	11895
52.7937	12.6989	11895
52.7903	12.8136	11895
52.7869	12.9217	11895
52.7834	13.0369	11895
52.7799	13.1477	11895
52.7764	13.2563	11895
52.7726	13.3672	11895
52.7686	13.4767	11895
52.7645	13.5887	11895
52.7606	13.6971	11895
52.7544	13.8594	11895
52.7499	13.9710	11895
52.7454	14.0788	11895
52.7409	14.1903	11895
52.7363	14.3050	11895
52.7318	14.4116	11895
52.7270	14.5198	11895
52.7216	14.6340	11895
52.7165	14.7450	11895
52.7112	14.8576	11895
52.7062	14.9641	11895
52.7008	15.0751	11895
52.6954	15.1847	11895
52.6898	15.2937	11895
52.6840	15.4051	11887
52.6785	15.5101	11895
52.6726	15.6220	11895
52.6665	15.7331	11895
52.6607	15.8363	11895
52.6547	15.9425	11895
52.6485	16.0521	11895
52.6427	16.1577	11895
52.6361	16.2671	11895
52.6294	16.3756	11895
52.6232	16.4771	11895
52.6166	16.5839	11895
52.6103	16.6865	11895
52.6036	16.7941	11895
52.5967	16.9020	11895
52.5900	17.0058	11895
52.5829	17.1140	11895
52.5761	17.2146	11895
52.5687	17.3228	11887
52.5614	17.4276	11895
52.5540	17.5336	11758
52.5461	17.6418	11621
52.5383	17.7492	11468
52.5303	17.8602	11323
52.5230	17.9596	11095
52.5154	18.0647	10828
52.5076	18.1651	10577
52.4972	18.2335	10470
52.4780	18.3292	10325
52.4596	18.4213	10165
52.4394	18.5216	9914
52.4201	18.6172	9555
52.4018	18.7070	9304
52.3822	18.8025	9014
52.3633	18.8948	8740
52.3441	18.9876	8390
52.3266	19.0718	8031
52.3073	19.1645	7612
52.2880	19.2572	7247
52.2682	19.3505	6942
52.2496	19.4381	6645
52.2315	19.5236	6256
52.2130	19.6107	5867
52.1933	19.7028	5525
52.1753	19.7875	5220
52.1578	19.8691	4884
52.1403	19.9496	4572
52.1216	20.0350	4275
52.1029	20.1199	3970
52.0857	20.1984	3680
52.0693	20.2736	3414
52.0514	20.3551	3147
52.0356	20.4269	2918
52.0258	20.4885	2728
52.0194	20.5287	2598
52.0079	20.6002	2370
51.9965	20.6698	2156
51.9853	20.7387	1951
51.9749	20.8038	1768
51.9709	20.8650	1585
51.9693	20.8955	1509
51.9661	20.9544	1364
51.9635	21.0069	1212
51.9655	21.0359	1151
51.9755	21.0691	1097
51.9882	21.0910	1052
52.0051	21.0990	991
52.0197	21.0950	945
52.0334	21.0823	869
52.0589	21.0604	709
52.0817	21.0405	549
52.1021	21.0228	477
52.1439	20.9862	122
52.1530	20.9782	53
